"","headline","clickbait"
"3332","A Family Has Been Making These Amazingly Awkward Christmas Cards For 13 Years",1
"28040","Makeup Oscar nominee list narrowed to seven",0
"25755","Huffington Post to Back Investigative Journalism Team",0
"12085","Why Is Kimmy Gibbler Doing The Whip And The Nae Nae",1
"23760","Unexpected Jump in Home Sales in February",0
"3686","23 Things Americans Can Honestly Never Understand About Britain",1
"31028","JP Morgan apologizes for slavery",0
"6184","16 Things Dermatologists Want You To Know About Your Skin",1
"16228","Ibrahim Ferrer, Cuban singer, dies at 78",0
"22430","Swine flu cases worldwide top 1,000",0
"29848","Zimbabwe election victory for Mugabe",0
"19359","Hamas strikes deal with Fatah",0
"15668","Nike Gave ""Back To The Future"" Self-Tying Shoes To Michael J. Fox",1
"7997","24 People Who Were Truly Born To Do Their Jobs",1
"23685","US state of Kansas in battle over ""Intelligent Design"" in education",0
"27848","At least four dead and hundreds of homes destroyed after week of wildfires rage throughout Texas",0
"5810","Aubrey Plaza, Betty White, Bob Barker, And More Guest Star On SpongeBob SquarePants",1
"13710","26 Things You'll Just Get If You've Ever Been Heartbroken",1
"25830","Saddam Hussein formally charged with the killing of Shia Muslims",0
"23253","UN observers in Syria fired upon as report alleges US warplanes readying attack",0
"1293","How One Black College Survived The Leap From Division II To Division I And Back Again",1
"2073","This Picture Sums Up Why Wedding Guests Should Put Down Their Damn Phones",1
"21258","Man buys his stolen camera on eBay",0
"17937","In First Use of Replay, Umpires at Yankee Stadium Get It Right",0
"16037","Ivory Coast beats Serbia and Montenegro 3-2 in Group C",0
"4263","11 People Who Look Strikingly Similar To Leonardo DiCaprio",1
"4503","Watch Divorced Parents Tell Their Son's Stepparents How They Really Feel About Them",1
"27720","Australian jockey Stathi Katsidis found dead at age 31",0
"25230","Putin orders Russian government to normalize relations with Georgia",0
"27018","McCoughtry and Moore Set Stage for Title Game",0
"28771","Australian TV show The Chaser breaches APEC security; 11 charged",0
"28424","Car and train collide in Buffalo, New York",0
"13934","Clearest Blue By Chvrches Is One Of The Year's Best Songs",1
"12609","This Test Will Tell You If You're More Like Your Mom Or You Dad",1
"30437","Innocent Googling? No Such Thing in Tehran",0
"30594","Greece: Athens Pride 2009",0
"29593","After a Pause, Wall Street Pay Bounces Back",0
"31641","U.S. jobs picture not improving",0
"3796","We Know What Celebrity You Fantasize About",1
"4518","Mad Max Furiosa Tutorial With Kandee Johnson",1
"22733","Wang Struggles as Red Sox Make It 7 Straight Against Yankees",0
"30111","Man allowed to keep deceased friend in warehouse freezer",0
"1984","This Recipe For Mud Hen Bars Is All You Need To See Today",1
"12045","A Mall Santa Did Everything He Could To Make An Autistic Child Feel Comfortable",1
"3785","25 Delicious Reasons You Should Eat More Miso",1
"3164","17 Incredibly Honest Confessions About Wet Dreams",1
"16513","Vietnam fishing vessel sinks in South China Sea, 27 missing",0
"31294","Czech PM calls Obama's rescue plan a 'road to hell'",0
"31221","Son of Illinois Senate President charged with driving under the influence",0
"18896","Could an unmarked grave in Winchester contain the remains of King Alfred?",0
"23893","Lovelorn Iraqi Men Call on a Wartime Skill",0
"30034","Actor Bob Denver dies at 70",0
"29400","$619 Million Paid to Keep A.I.G. Staff",0
"29656","Geithner Is Pressed for Bailout Details",0
"20424","Johan Santana Has No Changeup for His Competitive Fire",0
"8178","21 Ways To Forget About Your Ex For Good",1
"31246","Atlas V rocket launches with Inmarsat satellite",0
"26376","McLaren Mercedes drivers snatch the front row for 2007 Hungarian Grand Prix",0
"31377","MySpace shares its database of sex offenders",0
"13056","A List Of The Most Romantic Jim & Pam Episodes Of ""The Office"" To Binge-Watch On Valentine's Day",1
"22962","Losses Widen for American and United Airlines",0
"11401","22 Insanely Adorable DIY Decorations For Holiday Parties",1
"3017","Everyone Just Found Out That Denzel's Son Is Really Hot",1
"24863","Scottish archaeology student discovers 5,000 year old chewing gum in Finland",0
"28871","Canadian PM survives confidence votes",0
"28322","Boston Fears Chasm if The Globe Disappears",0
"26274","10 billionth song downloaded from Apple's iTunes Store",0
"11035","What Kind Of Old Person Will You Be",1
"6489","12 Terrifying Ghost Movies All Horror Fans Must See",1
"23665","On Separate Trips, Kerry and 2 U.S. Representatives Visit Gaza",0
"17515","A Year After Storm, Subtle Changes in Myanmar",0
"17257","In the Andes, a Toxic Site Also Provides a Livelihood",0
"25062","Polls Closed in The New Zealand 2005 General Election",0
"3173","These Sweatpants Overalls Are Making Me Have So Many Feelings",1
"11586","19 Struggles Of Taking Your Kid To The Bathroom In Public",1
"12730","21 Things You'll Understand If You Really Hate Baked Beans",1
"12493","Marshall Eriksen's Best 25 Quotes On ""How I Met Your Mother""",1
"20267","Police in Salinas, California identify teenage gunshot victim",0
"29987","UK shadow home secretary resigns over terror law",0
"5333","35 Totally Brilliant Ways To Eat More Chocolate",1
"16559","Ex-Lehman Trader Guilty of Fraud Charges",0
"21997","Quebec police admit they went undercover at Montebello protest",0
"27768","Sri Lanka Orders Halt to Fighting Circled Rebels",0
"23436","State Senator Stewart Greenleaf enters New Hampshire primary",0
"23132","New study claims Stonehenge was a place of healing",0
"27112","New Yorker Cover Art Is Painted With an iPhone",0
"13991","21 Things Every Guy Should Know About His Black Girlfriend's Hair",1
"6732","This Shah Rukh Fan Has Been Recreating Every Detail Of His Life Using A Tiny Doll",1
"3783","13 Things Trans Women Are Sick Of Hearing",1
"25821","Homer and Tough Defense Propel the Mets",0
"4570","Can We Guess How Many Times You Had Sex In 2015",1
"18479","A History Lesson With Merrill Deal",0
"21209","Voting Rights Elude Some Florida Ex-Felons, Study Says",0
"25341","Utah bill requiring divine design education withdrawn by Senator Chris Buttars",0
"3535","9 Ways To Make Pumpkin Seeds Taste Fabulous",1
"27567","Mistake-Prone Mets Lose in 12th",0
"16683","Obama Tries Out His Dexterity in the World Cup",0
"1406","Look At These Dead Bodies And Guess What Movie They're From",1
"21172","Julie Ditty wins ColemanVision Tennis Championship",0
"22740","Cargo Vessel grounded South of Gibraltar",0
"7327","These Tacos Are The Epitome Of Cheese On Cheese",1
"19248","Fiesta Season begins in Colombia",0
"4552","These Photos Of A Monkey Being Captured, Tied, And Caged Will Break Your Heart",1
"16827","Maine resident arrested in Florida for death threats to Bush, Obama",0
"31144","Bush, in Canada, Gives First Speech Since Leaving White House",0
"10784","23 Awesome Gifts To Help Your Stoner Best Friend Get Totally Baked",1
"5796","23 Hilarious Tweets About Coffee That Will Get You Every Time",1
"10778","25 Things Only Girls Over 5-Foot-10 Will Understand",1
"29552","In Detroit, 15 Candidates and Probably Few Voters",0
"25137","Fact-finder confirms that Arar was tortured",0
"12165","Here's How These Rappers Got Their Names",1
"11166","Jonny Lee Miller And Lucy Liu Play Whodunit",1
"20688","Felix Loch wins season opening World Cup luge race in Austria",0
"21885","Wikinews interviews a Restore the Fourth organizer",0
"23496","Google Puts Ads on Its News Site, Reviving Debate",0
"23124","Crash in Iraq Kills 4 U.S. Soldiers",0
"17377","Vandals Create a Pungent Problem in San Francisco",0
"20508","Portuguese writer José Saramago dies at 87",0
"24564","The INADI and Wikimedia Argentina sign an agreement of cooperation",0
"9401","Where Is The Best Taco You've Ever Had In Your Life",1
"10999","24 Times Twitter Went Way Too Fucking Far",1
"14320","22 Pictures That Perfectly Sum Up Every Single Thanksgiving",1
"10376","31 R&B Songs From 2015 You Need In Your Life",1
"28266","In Weekly Address, Obama Hails Stimulus and Announces Plans to Cut Deficit",0
"17922","Weeks of Wooing First Lady Pay Off for a New University",0
"2391","19 Thoughts Everyone Has While Watching ""House Hunters""",1
"2830","Tell Us About Yourself(ie): DJ Qualls",1
"28131","South Korea Agrees to a Call for Talks From North Korea",0
"4996","This Crossword Is Full Of Fucked Up Celebrities",1
"8040","This Proposal Cake Will Put All Other Proposals To Shame",1
"26049","Fiji fully suspended from the Commonwealth after failure to call election",0
"17072","Pakistan: 38 Talibani insurgents killed in two seperate attacks in Orakzai area",0
"28730","Bloggers investigate social networking websites",0
"26563","White House Reinstates Kundra",0
"30159","Sales Fall 10%, but Home Depot Tops Forecasts",0
"22395","Canadian boy killed in Cambodian seige; Police storm school",0
"2900","21 Dogs Who Are More Obsessed With Starbucks Than You",1
"27740","High school basketball star dies after making game-winning shot in overtime",0
"24507","Romanian government approves new minorities law",0
"11493","Dog Heroically Escapes From Vet And Takes Vet With Him",1
"22857","European Subsidies Stray From the Farm",0
"31550","Canadian victims of terrorism will be able to sue perpetrators",0
"27637","Top Seeds Squeeze Through",0
"20813","Alleged axe murderer faces an Australian court",0
"26279","Vyacheslav Tikhonov, Russian actor most famous for Stirlitz, dies at 81",0
"10214","There Was A Magical Wizard At The Democratic Presidential Debate",1
"26453","New Zealand runs low on 20 cent coins",0
"1978","This Couple Canceled Their Wedding And Gave The Money To Syrian Refugees",1
"163","Which Christmas Movie Should You Watch Right Now",1
"23286","After Many Firsts, Judge Has Talent for Persuasion",0
"16649","Former Taiwanese president jailed for life on corruption charges",0
"20999","Nixon Comments Disclosed on Abortion and Watergate",0
"23880","North Korea Maintains Its Tough Stance",0
"19060","Canadian Minister of National Defence withdraws from NATO candidacy",0
"26859","Ill Patients Forced to Pay for Cancer Pills",0
"15621","17 Teeny Tiny Necklaces For Your Inner Scientist",1
"14629","11 Times Abby Sciuto Was The Fashion Icon Of ""NCIS""",1
"235","Here's How To Make A Floral Dog Leash For A Winter Wedding",1
"17295","U.S. Vice President Biden's mother dies, aged 92",0
"18701","Mugabe: A vote for MDC is a wasted vote",0
"22308","With All Eyes on Him, Sean Avery Lifts Rangers",0
"26416","Titanic actress Gloria Stuart dies at age 100",0
"24746","A Revolving Door of Editors and Publishers",0
"27823","NASA rethinks abandoning Hubble",0
"20741","Porsche Introduces a Luxury Sedan to the  Chinese Market",0
"17153","U.S. General McChrystal submits plan on Afghanistan to President Obama",0
"5518","17 Books You Definitely Read If You Grew Up In The '00s",1
"1371","Which Taco Bell Menu Item Matches Your Zodiac Sign",1
"25959","Scottish based game-developer Realtime Worlds enters administration",0
"28952","Fear and loathing on the campaign trail, June 2008",0
"31648","Katrina conspiracy meteorologist quits Idaho TV News",0
"28996","Freedom Tower renamed ""1 World Trade Center""",0
"7661","18 Celebrity Snapchat Accounts That'll Change Your Snap Life",1
"17826","Switched at Birth, Women Find New Identity",0
"5828","15 Appetizers For A Rockin' New Year's Eve",1
"2270","Here's Another Really Good 2015 End-Of-The-Year Mashup",1
"17709","Ferry capsizes in Bangladesh, at least five dead and 50 missing",0
"26698","7 Are Killed in Suicide Bombings in Afghanistan",0
"11972","Which Australian Celebrity Should You Date Based On Your Zodiac Sign",1
"25993","The Sharper Image Brand Outlives the Stores",0
"19832","Obama decides against the release of graphic photos of bin Laden",0
"31912","Resolution on Obama Stirs Debate",0
"16978","US army gives medical assistance to Iraq school",0
"4434","Who Said It: Hillary Clinton Or Claire Underwood",1
"7328","This Quiz Will Tell You Which Breakfast Cereal Matches Your Personality",1
"8932","21 Low-Key Things You Can Wear To Show Your Halloween Spirit",1
"15712","What Percent Night Owl Are You",1
"2595","Only True Harry Potter Fans Will Be Able To Match These Wands To Their Characters",1
"30294","Darfur Rebel, Abu Garda, Appears in International Criminal Court",0
"27173","British Bank Chief Sees a Deep Recession",0
"15476","Can You Tell If It's A Pop Song Lyric Or A Hallmark Greeting Card",1
"23107","Former SA Deputy President Appears In Court",0
"29669","Canadian track and field coach Charlie Francis dies at age 61",0
"24430","China Aims at Dalai Lama With New Tibet Holiday",0
"30393","Falling Gas Prices Deny Russia a Lever of Power",0
"29484","US Army sergeant asserts Posse Comitatus is not being violated",0
"7928","Here's How You Can Help India's 19-Year-Old Sprinter Get To The 2016 Olympics",1
"11422","18 Unbelievably Rude Texts Only Your Dog Would Send You",1
"22138","Florida teacher lets students vote to remove child from class",0
"25064","Hiroshima marks 65th atomic bombing anniversary",0
"1820","This Was What The World Looked Like 30 Years Ago",1
"5257","Taylor Swift Missed A Note And Cried At The Grammys",1
"18509","Print Version of Blender to Cease Publication",0
"1554","11 Gifts Only A True Psychopath Would Ever Give",1
"19259","Canadian annual seal hunt begins amid controversy",0
"8196","15 Songs You Loved (But Forgot About) From 10 Years Ago",1
"1400","This Is What Happens When You Ask Your 12-Year-Old Brother For Dating Advice",1
"118","20 Confessions From People Who Are Slightly Obsessed With Outer Space",1
"12350","13 Heritage Minutes That Canadians Need Right Now",1
"28853","IEEE approves S1600 & S3200 transmission standards",0
"16313","2008 Taiwan presidential election: First official debate with citizen journalists' participation",0
"31109","NBA free agency: Bosh, Wade to sign with Miami Heat",0
"16166","Alesis TapeLink Moves Songs From Cassette to CD",0
"19131","SpaceX Dragon spacecraft launches for the first time",0
"9796","28 Memes Everyone Who Works In An Office Will Understand",1
"11761","The New York Times Asked Readers If They Could Kill Baby Hitler And People Are Freaking The Fuck Out",1
"11164","Couples Try To Make Each Other Laugh",1
"11075","21 Pictures Literally Every Girl Has Taken",1
"23383","US Senate confirms Supreme Court nominee Elena Kagan",0
"22947","U.S. Senator Santorum: ‘not to run’ in 2008 Presidential race",0
"8095","21 Reasons You Should Fall In Love With A Cat Person",1
"19675","Three Mutual Funds That Found Glimmers of Hope",0
"15669","Kristin Cavallari Posted A TBT With Stephen And It Will Make You Nostalgic AF",1
"21608","Violence at Cronulla Beach as 5000 people gather",0
"10893","Snuffleupagus Without Fur Is A Goddamned Nightmare",1
"22327","Leader of Somali group al-Shabaab assassinated",0
"15243","People Are Dressing Their Dogs Up As The Pope And It's Incredible",1
"28765","Europe's airline chaos: in depth",0
"700","The 24 Best Literary Debuts Of 2015",1
"21064","'Top Model' winner Jaslene Gonzalez on her career and being a Latina role model",0
"14023","10 Recipes To Make As You Cry To Adele's New Album",1
"6299","22 Fantastic Podcasts To Make Your Commute Less Shitty",1
"22659","SpaceX launches first Falcon 9 rocket",0
"27980","Brazilian President arrives in Israel to start Middle East tour",0
"20613","New Zealand's South Island and southern North Island struck by storms",0
"23204","Arizona applies ban on autodialers to mobile phone spam",0
"31259","FIFA and European Union are set to collide",0
"26823","Disposing of Assets of Failed Banks Tests F.D.I.C.",0
"25354","Linux installed on 2,460 desktop computers in Italian schools",0
"13858","Which ""Peanuts"" Character Are You Based On Your Zodiac Sign",1
"14794","9 Sex Positions To Spice Up Your Long-Term Relationship",1
"19492","Saudis Retool to Root Out Terrorist Risk",0
"16914","Over 13,500 evacuated after wildfire in California",0
"13349","We Know What City You Should Spend Christmas In Based On Your Zodiac",1
"26192","Bristol Central Library reopens after being closed due to fire",0
"18704","France first to enforce burqa ban",0
"6385","What's The Best ""Yahoo Answers"" Question You've Ever Seen",1
"583","This Bride Eating A Burger At A Hockey Game In Her Wedding Dress Is All Of Us",1
"30732","World Health Organization declares tuberculosis emergency in Africa",0
"22603","Canadian farmer vows to continue providing customers with raw milk despite order",0
"1565","We Know The Worst Mistake You've Ever Made Based On Your Taste In Balls",1
"855","The Only Plans You Should Be Making This Valentine's Day",1
"31872","UNHCR criticises Rwanda's and Burundi's decision to re-label refugees as illegal immigrants",0
"5788","Mother Of God, Randeep Hooda Is Unrecognisable In His Look For His Next Film",1
"16141","Final launch of Space Shuttle Discovery delayed another day",0
"19098","Would Detroit Sound Any Better in Italian?",0
"18928","Wider Drug War Threatens Colombian Indians",0
"6673","13 Pedro Infante Songs To Listen To When You're Drunk AF",1
"14421","Test Your Culinary Knowledge",1
"3451","Who's The Next Canadian Power Couple",1
"19017","Arrest made over murder of UK gemstone expert in Kenya",0
"21830","US appeals court rejects bid from expelled New York Senator convicted of assault",0
"1688","How Many Of Shia LaBeouf's Movies Have You Seen",1
"22341","Report says disappearing life threatens biodiversity",0
"26905","Fast evolution observed in butterflies",0
"4504","People Try Making Presidential Candidates More Likable",1
"13505","17 Photos That Will Give You A Raging Hockey Boner",1
"8511","31 Things That'll Actually Save You From The Cold",1
"22238","7.2 magnitude earthquake strikes Mariana Islands",0
"18362","N.F.L. Stars Who Took the Pitch and Ran With It",0
"20471","Bodies retrieved from Philippine ferry capsized in typhoon",0
"886","How Reliable Is Your Memory? | Street Tested",1
"10522","25 Times Blue Ivy Had Her Shit Together Better Than You",1
"8510","Here Are Twilight's Bella And Edward Gender-Swapped",1
"31664","Tested Early by North Korea, Obama Has Few Options",0
"1422","21 Budget-Friendly Adventures Worth Taking In The New Year",1
"17128","Belgium's Queen Fabiola seriously ill",0
"5773","F#@k, Marry, Kill: The ""Divergent"" Edition",1
"13737","21 Tweets About Thanksgiving That'll Make You Cringe Then Laugh",1
"21810","Canadian CEO surrenders to police",0
"1408","This Is What Disney Princesses Look Like Without Faces",1
"26441","Bomb scare closes main Edinburgh thoroughfare",0
"25550","Threat on New York City subway system heightens security alert level",0
"5353","21 Insanely Cute And Simple Dollar Store Halloween Costumes That Are Gifts From God",1
"31003","World Summit on the Information Society ends in Tunisia",0
"30789","Braidwood Inquiry finds Dziekanski tasering in British Columbia unjustified",0
"15719","15 Gorgeous People With Disabilities Who Are Winning The Style Game",1
"7587","Which Amy Poehler Are You Based On Your Taste In Waffles",1
"15609","23 Wonderful Feet Pics That Will Give You Wanderlust",1
"17300","Explosion in Russia kills 10: authorities suspect Chechen involvement",0
"26574","6 Killed in D.C. Subway Crash",0
"5003","35 Very Important Questions I Need Yoshi To Answer Right Now",1
"30855","Keselowski Wins at Talladega After a Wild Final Lap",0
"22842","Obama Directs Regulators to Tighten Auto Rules",0
"31999","Netanyahu Urges Pope Benedict, in Israel, to Denounce Iran",0
"9828","This Girl Looks So Much Like Taylor Swift It Will Freak You Out",1
"6535","48 Genuinely Insane Facts About The Kardashians",1
"2828","Stephanie Mills Destroyed Us In NBC's ""The Wiz""",1
"21095","Even Forbes Is Pinching Pennies",0
"23963","Half of Ugandan Presidential convoy blocked at Uganda-Rwanda border",0
"12051","The Most Annoying Parts Of Halloween",1
"21591","Black spot on Jupiter is impact site, says NASA",0
"24940","Peacekeeping helicopter crash kills four in Bosnia",0
"308","Jennifer Lawrence Surprised Amy Schumer With The Best Gift For Her Emmy Win",1
"5972","What's Your Horoscope For The Week Of Oct. 19",1
"1096","Who Said It: Donald Trump Or Jack Donaghy",1
"30999","California jury orders Skilled Healthcare to pay $671 million in damages",0
"14035","17 Tigers Who Are Just Being Giant Cats",1
"5831","Dear Men, Stop Wearing Boxers With Board Shorts",1
"26298","Small plane crashes on median of Interstate 75 in Michigan",0
"26190","Jailed former Taiwanese President on hunger strike",0
"14109","32 Times SpongeBob Perfectly Summed Up Your Life",1
"12542","13 Burning Questions For Ketchup Lovers",1
"16238","A Fitting Time to Honor Mentor of Ashe and Gibson",0
"1733","These Mini Peanut Butter Cheesecakes Are The Epitome Of Food Porn",1
"31755","Karzai retains lead in Afghan presidential elections",0
"18297","Clean Coal Technologies Gaining Favor",0
"31881","Third day of 'King Taksin operation' sees Bangkok airport closed",0
"28100","Greek debt deal reached",0
"6026","Which Kardashian-Jenner Girl Are You",1
"24749","Associated Press goes after bloggers for copyright violation",0
"20343","Rap music fan sentenced to Beethoven, pays fine instead",0
"5342","We Need To Talk About How Sexy Jared Keeso Is",1
"3595","Can You Tell The Difference Between Yoga Poses And Sex Positions",1
"16814","BP: Plug for underwater oil leak in Gulf of Mexico fails",0
"12881","When You Can't Hide Your Emotions",1
"8153","This Guy Decorated An Entire Subway Car To Propose To His Girlfriend",1
"10055","19 Decadent Pumpkin Desserts That Will Leave You Drooling",1
"13178","These Baby Meerkats Are Too Precious For This World",1
"3705","Improve Your Gmail With BuzzFeed's 5-Day Inbox Challenge",1
"31662","Behind Pettitte, Weary Yankees Beat Rookie Sean West",0
"14547","The 7 Lesbians You Meet On Tinder",1
"4723","England Wants Football Fans To Sing French National Anthem This Week",1
"4126","What Makes ""Butch"" Hot",1
"19576","Students in New York Fall Ill, and Swine Flu Is Suspected",0
"25180","Comedian Colin Mochrie to host Canadian ""5th Grader"" game show",0
"3660","26 Adorable Dogs Who Are Slaying The Fall Fashion Game",1
"27612","Last WWII Comanche 'code talker' dies",0
"13408","Are These Quotes From ""Home Alone"" Or ""Home Alone 2""",1
"23877","Iraqi PM Nouri al-Maliki says U.S Troops can leave when they want",0
"10036","The ""Firefly"" Cast Spent A Lot Of Time In Bed Together On Set",1
"27519","British Airways strike grounds flights at Heathrow",0
"25367","A Patch of Green: Yankees Sod for Sale",0
"15297","15 Essential Products For Anyone Who Wants To Eat Healthier",1
"28492","Reid and Eagles Arrive at  a Familiar Place, and Vow to Move on",0
"7074","A Mountain Lion Just Climbed A Utility Pole In California And Stayed There",1
"29373","AOL to launch VoIP service",0
"12540","Puppies Eat Peanut Butter For The First Time",1
"4856","An Adorable Animals Advent Calendar: December 17",1
"6807","Demi Lovato Adorably Confused ""Genes"" For ""Jeans"" On BBC Radio",1
"26066","Hamas to Start Paying Gaza Residents Compensation and Reconstruction Aid",0
"7540","Which Character From ""The Flash"" Should You Marry",1
"14894","21 Ridiculously Tasty Treats Made With Baileys Irish Cream",1
"25801","Return to D.I.Y Ethic Erodes Service Businesses",0
"8259","34 Pictures That'll Make You Want To Pack Your Bags And Move To Wales",1
"28509","India wins Gavaskar Border trophy defeating Australia 2-0",0
"10173","28 Creepy Tim Burton Costumes That Will Inspire Low-Key Goth Ladies",1
"7094","19 Times Amy Poehler Was Hilarious, Feminist, And Perfect",1
"12171","How Evolved Are You",1
"29415","Bus driver convicted of killing eleven after falling asleep in California crash",0
"7572","The Way This Guy Reacts To Finding His Pug In The Trash Can Is Too Cute For Life",1
"26628","Scots report crime using Facebook",0
"23296","Shots reported during Superdome evacuation",0
"12969","ASOS's Upcoming Wedding Dress Line Is Insanely Pretty And Affordable",1
"14575","21 Delicious Dips You Won't Believe Are Only Three Ingredients",1
"4085","18 Things You'll Only Understand If You Always Need To Pee",1
"5486","For Everyone Who Hates The Red Cups Because They're Not Filled With Dunkin Donuts",1
"9902","Which '00s Movie Leading Lady Are You Based On Your Zodiac",1
"17670","Baseball Playoff Games on Fox to Start Earlier",0
"21594","Wildfires Hit Myrtle Beach Area",0
"2973","I Wore Skirts For A Week As A Man And This Is What Happened",1
"14666","21 Dads Who Are Way Too Embarrassing For Their Own Good",1
"12031","Two Truths And A Lie: Ed Sheeran And Jamie Lawson Edition",1
"11204","24 Times Anna Kendrick Was 100% Actually You",1
"29841","White House refuses to release climate policy documents",0
"15689","We Need To Talk About How Cute Royalty Brown Is",1
"12667","Zayn Malik's ""Zitties"" Are Driving People Insane",1
"30382","200 yard spider web found in Lake Tawakoni State Park, East Texas",0
"26085","'Last Ottoman' dies at age 97",0
"5018","How One Author Is Motivated By His Chronic Anxiety",1
"6776","21 Photos That Perfectly Sum Up Grad School",1
"1223","The 27 Most Important Moments From ""Bake Off"" 2015",1
"15765","We Know Your Birth Month Based On Two Totally Unrelated Questions",1
"25099","Plane carrying sixteen people vanishes over Papua, Indonesia",0
"25231","Explosions kill eight in Jakarta",0
"12167","19 Incredible Items Every San Diego Lover Needs In Their Life",1
"20312","No. 19 Purdue Caps Wild Comeback Against Northwestern",0
"29767","In Peacekeeping, a Muddling of the Mission",0
"22124","Philippines Supreme Court to probe leak of draft judgment in election case",0
"20996","Former Taiwanese President Chen Shui-bian detained",0
"15894","This Steak Dinner For Two Is Where It's At",1
"25303","Martin claims victory in Charlotte",0
"20510","U.S. Issues Scathing Report on Immigrant Who Died in Detention",0
"31962","Little Rock Nine member Jefferson Thomas dies aged 67",0
"25748","In Overtime Again, Celtics Keep Their Cool",0
"25725","Bloomberg and Clinton create green alliance",0
"23966","Israeli military launches airstrikes into Gaza Strip",0
"28123","Palestinian Official Killed in Lebanon",0
"1532","How Romantic Was Your Proposal",1
"17275","Canadian province receives warning from Exxon",0
"6688","Kate Winslet Was Told To Settle For ""Fat Girl"" Parts As A Teenager",1
"12689","21 Hot Guys Who Agree This Week Totally Sucked",1
"21711","Australian PM announces public affairs channel",0
"20164","Camel Rock Festival held in Scilly",0
"21768","Gunman kills self and hostage in Texas NASA building",0
"25442","Where Jobs Ride on a Luxury on Wheels",0
"11171","16 Gorgeous Sangrias That Will Keep You Warm This Fall",1
"18894","Greenpeace demands Chilean President create marine parks",0
"28313","Korean Peninsula on the 'brink of war': DPRK",0
"18940","Bomber Kills Dozens in Iraq as Fears of New Violence Rise",0
"14440","The Evolution Of Jennifer Lawrence's ""Hunger Games"" Style",1
"4352","What Lady Gaga Song Should Be Your Anthem",1
"1011","18 Must-Have Shoes For Fall",1
"11536","Are You Superstitious Enough To Turn Around After This Black Cat Crosses Your Path",1
"20184","Wikinews interviews journalist Konrad Godlewski, who uncovered BATUTA hoax",0
"29646","Person from Indiana wins $314 million Powerball jackpot",0
"5883","17 Gifts For People Whose Best Friend Is A Pomeranian",1
"19606","Possible 'mastermind' of London bombings captured in Egypt",0
"15682","Which ""Adventure Time"" Character Matches Your Zodiac Sign",1
"9054","This Is The Grossest Thing On The Internet This Week",1
"932","Playboy Just Released Its Last Nude Issue And The Cover Model Is",1
"11258","Which Celebrity Is Actually Your Soulmate",1
"11591","20 Times Paget Brewster From ""Criminal Minds"" Was The Best Person On Twitter",1
"26748","Data Suggests That Recession May Be Near Bottom",0
"1308","The 100 Best Swear Words In The English Language",1
"27393","Kaiane Aldorino wins Miss World competition",0
"23943","Prescott to stand down as UK MP",0
"16416","Peter Capaldi named twelfth Doctor Who",0
"15911","Roommates Tell Each Other Long-Held Secrets",1
"14734","For Everyone That Fell In Love With Niall Horan In 2015",1
"14475","17 Impossibly Tiny Glasses That Will Make You Feel Crazy Fancy",1
"30266","Dispute Over Advisers Cancels Microsoft Antitrust Hearing in Europe",0
"30157","Iranian Candidate Taps Student Woes",0
"9053","Drop Everything, Emo Kids, Because Jack's Mannequin Is Reuniting",1
"2662","This Is The Story Of How I Saw James Franco Get A Live ""Circumcision"" At His Bar Mitzvah",1
"19403","Ariane rocket launches Vietnam's first satellite",0
"5368","17 Times The Internet Perfectly Summed Up Being A Libra",1
"18838","UN renews Darfur peacekeeping mission",0
"13890","30 Moments That Made Us Proud In 2015",1
"13843","This Bride Treated Herself To McDonald's After Her Groom Went Paintballing At Their Wedding",1
"10332","21 Tweets That Are Way Too Real For Anyone Who's Obsessed With Instagram",1
"20704","Maoists in India Briefly Seize Passenger Train",0
"9391","What's The Best Place To Buy Affordable Jewelry Online",1
"29042","Farm Exports Fall Sharply in Global Recession",0
"25008","Alliance With Fiat Gives Chrysler Another Partner and Lifeline",0
"12826","Thousands Are Sharing This Inspirational Story By An Amputee Who's A National Athlete",1
"1338","This Kid And Her Dad Teaching Their Dog How To Howl Is So Adorable",1
"21450","American actress Estelle Getty dead at age 84",0
"7517","This Woman Makes Tiny Fake Food And It's Incredibly Cute",1
"7402","15 Insanely Adorable Pins You Never Knew You Needed",1
"6337","11 Scientific Predictions About The Future That Are Seriously Crazy",1
"18327","Large Hadron Collider damaged, to be shut down for repairs",0
"29544","Alaskan Governor and Republican U.S. vice presidential nominee Sarah Palin's email account hacked",0
"2325","We Can Guess What Gets You Off Most During Sex",1
"29073","China plans to ban smoking in indoor public places",0
"28139","US airlines Delta and Northwest agree to merge",0
"13968","How Did You Get Over Your Insecurities During Sex",1
"26899","SAG Members to Vote on Contract Much Like Initial Offer",0
"12140","Sam Hunt's ""Break Up In A Small Town"" Video Is So Hot It's Problematic",1
"2858","This Couple Successfully Cloned Their Dog After He Died",1
"11184","These Apps Will Make Long Distance Relationships Work",1
"13422","19 New Year's Resolutions All Lesbians Can Totally Get Behind",1
"12537","The First Trailer For ""X-Men: Apocalypse"" Is Here And It's Damn Good",1
"29682","McCain and Obama participate in Saddleback Church forum",0
"31071","Millions to turn off lights for Earth Hour tonight",0
"21110","PRIDE Critical Countdown 2005 results",0
"21513","Afghan Member of Parliament escapes assasination attempt",0
"18230","Japan Sends Destroyers on Anti-Piracy Patrol",0
"6028","15 Terrifying Kylie Jenner Pics You Can't Unsee",1
